text,review
"  Colorful movie, love it!",5
  Please consider never talking to me about movies if you dont like this movie. Classic,5
"  One of the best movies of its kind, I gotta say 99 rotten tomatoes, this movie should go up to 100% rotten tomatos to me!",5
"  A real classic. Although unrealistic I loved it, it was the first ever color film, it had a good storyline, a good cast, good directors and good special effects (of course, the effects are bad now, but at the time they were very good). Highly recommend. Everyone should see this movie at least once in a lifetime",4
  I love the wizard of oz so much. The wizard of oz is my favorite movie ever. I've had a lot of great fond memories watching the wizard of oz a lot back when I was a very small baby and a little kid. It is definitely my favorite movie period. It is one movie that has lived on for many of years since it first came out. And it's characters and the cast still look great as they were back in 1939. Movies like this one has a very soft spot in my heart and I've always related to this movie. I'm pretty sure of all the classic films that came out after 1939 you kind of compare them to the wizard of oz and I don't think the wizard of oz has been beat. It is one of those classic movies that has lived on for generations after generation. I really love the songs in the film which they are called musical numbers. My favorite musical number out of all the songs in the movie is the scarecrows song if i only had a brain. Judy garland and Ray bolger were great in the wizard of oz. They fit the characters that they played.,5
"  I want to vomit every time I come by this movie, even as a child I hated this movie.",0
  A classic piece of cinematic beauty that will be cherished for years to come.,5
  a masterpiece..a classic..holds up to this day.,5
"  What is unbelievable is that the Wizard of Oz was made in 1939, the graphics in the movie are revolutionary and extraordinary. TWTO is way ahead of its time and it is one movie that would associate well with people even today.",5
  Timeless Masterpiece that can be enjoyed by all ages.,5
  gooooood filmmmmm yaaahhhh,5
"  Amazing movie, every scene is magic.Its hard to believe it was made in the 30's.",5
  Great movie to watch with your kids.,5
  favorite childhood movie!! =],4
  ??????????????????????,5
  Probably one of my favourite films ever. Definitely in my top ten.,4
  One of the best movie of early cinema.,4
"  One of the greatest showings of visual and audible elegance. This level of vibrance was almost unheard of in 1939, and yet The Wizard Of Oz was able to perfect it. A feat that movies in 2018 can not repeat. Perhaps the greatest movie of all time. 9.8/10",5
"  The Wizard of Oz is probably the first movie I truly fell in love with as a kid. I lived within sight of Kansas my entire childhood and the tornado scene struck a feeling of such primal fear in me as a kid it's hard to describe, particularly since I saw my first tornado at about 6 years old. The entire movie still resonates with me all these years later. It's timeless and classic in every sense. Beautiful sets, colors and costumes. Who cannot say that when Somewhere Over the Rainbow starts playing, it is bound to bring up some deep beautiful emotions every single time? The story, the characters, The Wizard of Oz has it all. I will never get tired of watching again and again.",5
  this movie should die already,0
"  Charming and cute, The Wizard of Oz impresses for a movie from the 30s,its clever script seemingly having barely aged.",4
"  there is no place like home..The Wizard Of OzIt is one of those cult classic features that happen to have everything in the right place; from characters to performance and from script to execution. The adaptation is short and smart that covers up every essential information and emotion from the novel and helps connect easily with the audience. Victor Flemming has done a decent work on executing the tale and it works for the major part of it because of his affection and passion towards conveying the right message. The performance is not outstanding but definitely admirable, especially when on creating comic sequences. The Wizard Of Oz not only works as a whole project, but score majestically on technical aspects too like costume design, production design, background score, choreography and songs that helps celebrate it on such large scale.",4
  This movie is an 8/10. Good movie but it in no way deserves a 99%. My biggest complaint is the acting. Everyone just seems to dumb like the movie doesnt take itself seriously.,4
  really boring almost fell asleep. would only recommend to old white people,1
"  tHIS IS AN EXCELLENT ALL AROUND MOVIE, IT CAN SCARE LITTLE KIDS, IT SURE DID ME MOST OF MY LIFE UNTIL I BECAME AN ADULT, IT'S JUST A GOOD SOLID MOVIE.",5
  Masterpiece! 10/10 5 ***** starsDon't make films like this anymoreI'm a 36 yr male and i love this film!Watching it in bed eating food ??,5
  A movie that can be watched over and over.,4
  The influence for many classics after,5
  A masterpiece that will never be forgotten.,4
"  The Wizard of Oz is one of the greatest films ever! It's extravagant colors and wonderful musical numbers, as well as Judy Garland, make it a classic film for all ages!",5
  Both witches die. It's all a dream. Midgets everywhere.,5
"  with a great performance from judy garland and with its outstanding use of technicolor, the wizard of oz is a must see film for both old and young. revolutionary in every sense, this film should top the list of the greatest films ever made.",5
  A timeless masterpiece. Just pure magic.,5
  Love it! Reminds me of my.mother! ?? always was her favorite movie!,0
  The single greatest movie of all time. Epic in every way.,5
"  A leading contender for Most Famous Movie In Cinematic History, The Wizard Of Oz is a harmonious blending of mega-popular songs, quotable lines, memorable characters and colourful scenery. The somewhat troubled production and many on-set difficulties never show on the screen, with everything happening in a whirlwind of childhood delight and endless whimsy. It plays more like a stage show or pantomime, with exaggerated performances and constant movement, and it suits the tone perfectly. You could pick holes in its plot and the logic of the Wicked Witch, who was a dumb villain before James Bond movies made it cool, but it doesn't matter. The Wizard Of Oz has resolutely stood the test of time, a symbol of the Golden Age of Hollywood, and all the magic and emotion that comes with such a label.",4
  The Best Family Movie Ever Made A Delight From Beginning To End!,5
  not good bad visuals and storytelling must not watch,0
"  One of the first kid's films ever is still among the sweetest and most entertaining. To this day, when Dorothy first enters Oz, a sense of awe overtakes the viewer, as we marvel at the pure perfection of the design and the splendid pacing of the adventure. Performances are wonderfully alive, songs are iconic and great, and the sincerity of heart is timeless.",5
  Did anyone else want to slap Glinda when she told Dorothy she had the power to go home all along?,2
